,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
329,"['Today', '39s', 'TS', '39s', 'and', 'ExecutionTarget', 'Zones', 'for', '$YMF', 'Tues', '$ESF', '$YMF', '$GCF', '$CLF', 'cc', '$SPY', '$SPX', '$DIA', '$DJIA', '$GLD', '$USO']",2014-10-29,09:21:25,EST,28564122,CL_F,[u'suggested'],7091,13803,,[u'Futures'],Professional,,TraderSmarts
330,"['$FB', 'message', 'volume', 'chart', 'This', 'spike', 'is', 'from', 'yesterday', '39s', 'earnings', 'Amazing']",2014-10-29,09:21:03,EST,28564097,FB,"[u'ir', u'suggested', u'official']",86820,170,,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Novice,,StockTwits
331,"['$VXX', 'poised', 'for', 'higher']",2014-10-29,09:21:13,EST,28564114,VXX,[u'suggested'],3212,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
332,"['$FANG', 'now', 'up', 'about', '$9', 'since', 'the', 'quotGoldmanGartman', 'Whale', 'Oil', 'quot', 'dip', 'thanks', 'guys', 'just', 'great', 'work', '$CLF']",2014-10-29,09:20:50,EST,28564082,CL_F,[u'suggested'],17582,31117,Technical,"[u'Equities', u'Options', u'Futures']",Professional,Swing Trader,JFinDallas
333,"['The', 'World', '39s', 'No', '1', 'Poker', 'Player', 'on', 'Winning', 'Losing', 'and', 'Staying', 'Sane', 'in', 'High-Stress', 'Situations', '$STUDY']",2014-10-29,09:19:55,EST,28564012,STUDY,[u'suggested'],20521,10140,Fundamental,[u'Equities'],Professional,Long Term Investor,jessefelder
334,"['$BCRX', 'Long', 'Setup']",2014-10-29,09:19:20,EST,28563976,BCRX,"[u'suggested', u'official']",2254,32071,Technical,"[u'Equities', u'Futures']",Professional,Swing Trader,SharePlanner
335,"['Cliffs', 'Natural', 'highyield', 'bonds', 'shares', 'surge', 'after', '3Q', 'results', 'outpace', 'estimate', '$CLF', 'mining']",2014-10-29,09:18:33,EST,28563919,CLF,"[u'suggested', u'official']",5490,81029,,[],,,lcdnews
336,"['quot', '@hertcapital', '$DJIA', 'Chemical', 'Activity', 'Barometer', 'slightly', 'down', 'in', 'October', 'but', 'still', 'projects', 'solid', 'growth', '$DIA', 'quot']",2014-10-29,09:18:12,EST,28563892,DJIA,"[u'ir', u'suggested', u'official']",86820,170,,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Novice,,StockTwits
337,"['$DKS', 'Long', 'Setup']",2014-10-29,09:18:19,EST,28563902,DKS,"[u'suggested', u'official']",2250,32071,Technical,"[u'Equities', u'Futures']",Professional,Swing Trader,SharePlanner
338,"['Crude', 'It', '39s', 'not', 'often', 'you', 'get', 'two', 'set-ups', 'like', 'this', '$CLF']",2014-10-29,09:18:03,EST,28563879,CL_F,"[u'suggested', u'official']",1138,193178,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,,FuturesMagazine
339,"['$HCA', 'Long', 'Setup']",2014-10-29,09:17:47,EST,28563858,HCA,"[u'suggested', u'official']",2250,32071,Technical,"[u'Equities', u'Futures']",Professional,Swing Trader,SharePlanner
