,text,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
30,"['Covered', 'some', '$LEN', 'at', '3663']",2014-11-26,14:31:51,EST,29668991,LEN,[u'suggested'],16491,2314,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,bearcharts
31,"['$STUDY', 'justifying', 'market', 'moves', 'with', 'personal', 'opinions', 'is', 'useless', 'market', 'does', 'not', 'care', 'what', 'you', 'think', 'just', 'make', 'sure', 'you', 'have', 'exits']",2014-11-26,14:31:51,EST,29668990,STUDY,[u'suggested'],2645,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
32,"['$GLOG', 'long', 'now', 'to', '55', 'of', 'accounts', '2123', 'ave']",2014-11-26,14:31:20,EST,29668954,GLOG,"[u'suggested', u'official']",3553,23902,Growth,"[u'Equities', u'Futures']",Professional,Position Trader,Centrifugal
33,"['January', 'Crude', 'pit', 'session', 'recently', 'closed', '24hr', 'levels', 'HOD', '7448', 'LOD', '7330', 'last', '7372', '050', '$ESF']",2014-11-26,14:31:07,EST,29668942,ES_F,"[u'suggested', u'official']",2739,170238,,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds', u'Private Companies']",Professional,,TradersAudio
34,"['$PCLN', 'quotsell', 'off', 'quot', 'today', 'on', 'travelling', 'mumjo', 'jumbo', 'is', 'silly', 'Inside', 'day', 'so', 'far', 'on', '9', 'EMA', 'support']",2014-11-26,14:29:49,EST,29668861,PCLN,[u'suggested'],3847,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
35,"['The', '1970', 's', 'are', 'not', 'a', 'Good', 'Proxy', 'for', 'a', 'Bond', 'Bear', 'Market', '$SPY', '$TLT']",2014-11-26,14:29:36,EST,29668851,SPY,"[u'suggested', u'official']",8546,307445,,[],,,cullenroche
36,"['$CBI', 'this', 'gonna', 'be', 'nasty', 'once', 'it', 'breaks', 'off', 'storm', 'is', 'brewing', 'technicals', 'not', 'look', 'so', 'great']",2014-11-26,14:29:23,EST,29668835,CBI,[u'suggested'],2645,5890,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,financialtrader
37,"['Wednesday', 'links', 'inheriting', 'the', 'mill', '$FEZ', 'vs', '$SPY', 'and', 'the', 'best', 'streaming', 'sticks', '$XLE', '$QVAL', '$USO', '$AMZN', '$GOOG', '$AAPL']",2014-11-26,14:29:10,EST,29668822,AAPL,"[u'suggested', u'official']",36578,76,Global Macro,[u'Equities'],Professional,Position Trader,abnormalreturns
38,"['Ebola', 'drug', 'stock', '$NLNK', 'up', 'nearly', '10', 'today', 'News', 'of', 'licensing', 'deal', 'with', '$MRK', 'is', 'good', 'But', 'that', 'was', 'announced', 'Monday', 'Why', 'the', 'delayed', 'rally']",2014-11-26,14:29:09,EST,29668818,MRK,"[u'suggested', u'official']",15228,23887,,[],Novice,Long Term Investor,lamonicabuzz
39,"['36', 'was', 'cluster', 'support', 'was', 'tight', 'with', 'stops', 'Done', 'and', 'dusted', '$DDD']",2014-11-26,14:27:51,EST,29668724,DDD,[u'suggested'],3847,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
40,"['Out', '$DDD']",2014-11-26,14:27:32,EST,29668704,DDD,[u'suggested'],3847,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
41,"['$GOOGL', 'AFTER', 'Tax', 'Profit', 'up', '1300', 'Tax', 'Rate', 'Down', '50', '$STUDY']",2014-11-26,14:27:25,EST,29668694,STUDY,[u'suggested'],2284,394798,,[],,,CapitalMarketLabs
