,text,day,date,time,tz,message_id,symbol,classification,followers,id,strategy,assets_traded,experience,holding_per,username
421,"['PnF', 'on', '$TWTR', 'shows', 'a', 'Double', 'Bottom', 'Breakdown', 'today', 'but', 'the', 'Rising', 'Trend-line', 'break', 'is', 'worrisome', 'too']",T,2014-10-28,15:31:04,Z,28510230,TWTR,"[u'suggested', u'official']",29460,12134,Technical,"[u'Equities', u'Options', u'Forex', u'Futures', u'Private Companies']",Intermediate,Swing Trader,1nvestor
422,"['Careful', 'getting', 'aggressive', 'long', 'here', 'or', 'chasing', 'Watch', '1975', 'on', 'the', '$SPX', 'short', 'term', '65', 'min', 'charts', 'reaching', 'overbought', 'Not', 'a', 'reason', 'to', 'sell']",T,2014-10-28,15:30:28,Z,28510188,SPX,[u'suggested'],14732,6375,Technical,[u'Equities'],Intermediate,Swing Trader,SunriseTrader
423,"['Struck', 'me', 'as', 'odd', 'in', 'age', 'of', 'hyper-connectivity', 'that', 'Coach', 'posted', 'strong', 'growth', 'overseas', 'even', 'as', 'many', 'wrote', 'its', 'obituary', 'in', 'US', '$COH']",T,2014-10-28,15:30:21,Z,28510177,COH,"[u'suggested', u'official']",23058,92878,Fundamental,"[u'Equities', u'Bonds']",Intermediate,Long Term Investor,retail_guru
424,"['NEW', 'POST', 'Fishing', 'for', 'the', 'IPO', 's', 'and', 'Bottom-Dwellers', '$BABA', '$LOCO', '$TUBE', '$PBPB', '$SEAS']",T,2014-10-28,15:29:41,Z,28510133,SEAS,[u'suggested'],22918,8482,Technical,[u'Equities'],Professional,Swing Trader,chessNwine
425,"['1976', 'and', 'Bust', '$SPX', '$DAX', '$USDX']",T,2014-10-28,15:29:35,Z,28510123,SPX,"[u'suggested', u'official']",2197,32071,Technical,"[u'Equities', u'Futures']",Professional,Swing Trader,SharePlanner
426,"['MorningWord', '102814', 'From', 'Hero', 'To', 'Goat', '$XLE', '@EnisTaner']",T,2014-10-28,15:29:23,Z,28510109,XLE,"[u'suggested', u'official']",10489,70439,Fundamental,"[u'Equities', u'Options']",Professional,Position Trader,RiskReversal
427,"['That', 'very', 'odd', 'disconnect', 'between', 'Coach', 'very', 'weak', 'US', 'amp', 'strong', 'Intl', 'business', 'is', 'disappearing', 'China', 'Japan', 'trends', 'meaningfully', 'worse', '$COH']",T,2014-10-28,15:28:35,Z,28510047,COH,"[u'suggested', u'official']",23058,92878,Fundamental,"[u'Equities', u'Bonds']",Intermediate,Long Term Investor,retail_guru
428,"['$TSLA', 'Favorite', 'pattern', 'trapped', 'bearsbulls']",T,2014-10-28,15:28:19,Z,28510028,TSLA,[u'suggested'],1384,184733,Technical,"[u'Equities', u'Futures', u'Bonds']",Intermediate,,MoenchArt
429,"['After', 'Bullard', 'spoke', 'about', 'delaying', 'end', 'of', 'QE', 'on', 'Oct', '16', 'market', 'shot', 'straight', 'up', 'Important', 'meeting', 'coming', 'up', 'could', 'be', 'big', 'upset', '$SPX', '$IWM']",T,2014-10-28,15:27:44,Z,28509985,SPX,[u'suggested'],677,30973,Momentum,"[u'Equities', u'Options', u'Futures']",Professional,Swing Trader,Global_Trader
430,"['$RCPT', 'up', '50', 'TODAY', 'on', 'phase', '2', 'trial', 'news', 'added', 'it', 'to', 'our', 'Buy', 'Alert', 'list', 'and', 'tweeted', 'it', 'on', '1020']",T,2014-10-28,15:27:20,Z,28509961,RCPT,"[u'suggested', u'official']",20575,10061,Growth,[u'Equities'],Professional,Swing Trader,markminervini
431,"['On', 'Wisconsin', 'Not', 'for', 'Kohl', '39s', '$KSS', 'down', 'more', 'than', '7', 'on', 'weak', 'October', 'sales', 'and', 'earnings', 'warning', 'Nice', 'win', 'for', 'Badgers', 'over', 'weekend', 'though']",T,2014-10-28,15:26:27,Z,28509885,KSS,"[u'suggested', u'official']",14652,23887,,[],Novice,Long Term Investor,lamonicabuzz
432,"['InterDigital', '$IDCC', 'said', 'it', 'one', 'patent', 'trial', 'against', 'ZTE', 'over', 'phones']",T,2014-10-28,15:26:09,Z,28509861,IDCC,"[u'suggested', u'official']",35899,223547,Global Macro,"[u'Equities', u'Options', u'Forex', u'Futures', u'Bonds']",Professional,Day Trader,FinancialJuice
433,"['$BITA', 'bull', 'flagging', 'after', 'recovering', 'from', 'correction', 'Move', 'over', '8250', 'with', 'volume', 'is', 'an', 'entry', 'Earnings', '117']",T,2014-10-28,15:25:59,Z,28509841,BITA,[u'suggested'],677,30973,Momentum,"[u'Equities', u'Options', u'Futures']",Professional,Swing Trader,Global_Trader
434,"['Out', 'of', 'all', 'the', 'day-trade', 'portions', 'on', '$CLF', '$CLDX', '$SPLK', '$XME', 'but', 'unless', 'they', 'completely', 'fall', 'apart', 'will', 'swing', 'riders', 'in', 'all']",T,2014-10-28,15:25:02,Z,28509769,CLDX,[u'suggested'],28186,7496,Technical,[u'Equities'],Professional,Day Trader,HCPG
435,"['Technical', 'question', 'WhatsApp', 'holders', 'have', 'to', 'file', 'an', 'S-3', 'after', 'earnings', 'tonight', 'to', 'register', 'their', '$FB', 'shares', 'Is', 'that', 'effective', 'immediately']",T,2014-10-28,15:24:50,Z,28509758,FB,"[u'suggested', u'official']",19688,10381,Value,"[u'Equities', u'Options']",Professional,Position Trader,CapitalObserver
436,"['$VXX', 'now', 'zooming', 'toward', '$30', 'at', 'high', 'speed', 'just', '10', 'days', 'ago', 'sold', 'to', 'someone', 'a', 'bunch', 'of', 'Nov', '$50', 'Calls', 'for', '$43', 'now', '$036', '$VIX', '$SPY', 'FearGreed']",T,2014-10-28,15:24:45,Z,28509751,VIX,[u'suggested'],17538,31117,Technical,"[u'Equities', u'Options', u'Futures']",Professional,Swing Trader,JFinDallas
437,"['It', 'would', 'obviously', 'be', 'a', 'very', 'positive', 'sign', 'to', 'see', 'the', 'S', 'ampP', '500', 'CLOSE', 'above', 'the', '50-day', 'line', 'today', '$SPY', '$SPX']",T,2014-10-28,15:24:28,Z,28509728,SPX,[u'suggested'],21242,22625,Momentum,[u'Equities'],Professional,Position Trader,DarvasTrader
438,"['STO', '$CBRL', 'nov', '115', 'Calls', 'for', '$1', 'against', 'long', 'Dec', '105', 'calls']",T,2014-10-28,15:24:14,Z,28509704,CBRL,"[u'suggested', u'official']",62726,881,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,harmongreg
439,"['$CLDX', 'first', 'target', 'here', 'coming', 'up', '17', 'and', 'next', 'one', 'is', '176', 'If', 'you', '39re', 'in', 'day-trade', 'time', 'frame', 'take', 'some', 'off', 'right', 'here']",T,2014-10-28,15:23:36,Z,28509641,CLDX,[u'suggested'],28186,7496,Technical,[u'Equities'],Professional,Day Trader,HCPG
440,"['$SPX', 'may', 'be', 'shooting', 'for', '197784', 'swing', 'point', 'which', 'coincides', 'with', '786', '197676', 'of', 'entire', 'decline', 'amp', 'a', 'volume', 'shelf']",T,2014-10-28,15:23:28,Z,28509629,SPX,[u'suggested'],8356,9448,Technical,"[u'Equities', u'Options', u'Futures']",Professional,Position Trader,MarzBonfire
441,"['$LEAF', 'had', 'a', 'rest', 'after', 'breakout', 'now', 'starting', 'to', 'move', 'higher', 'with', 'volume', 'Breakout', 'over', '3620', 'with', 'volume', 'is', 'an', 'entry', 'Earnings', '1110']",T,2014-10-28,15:23:14,Z,28509614,LEAF,[u'suggested'],677,30973,Momentum,"[u'Equities', u'Options', u'Futures']",Professional,Swing Trader,Global_Trader
442,"['$YELP', 'through', '595', 'could', 'get', 'us', 'some', 'traction', 'to', 'upside', 'Post', 'EPS', 'high', 'close']",T,2014-10-28,15:23:02,Z,28509605,YELP,[u'suggested'],1386,184733,Technical,"[u'Equities', u'Futures', u'Bonds']",Intermediate,,MoenchArt
443,"['Some', 'stocks', 'our', 'guys', 'are', 'trading', '$TWTR', '$CLF', '$BABA', '$JAH', '$COH']",T,2014-10-28,15:21:55,Z,28509517,CLF,"[u'suggested', u'official']",20950,2350,Technical,"[u'Equities', u'Options', u'Forex', u'Futures']",Professional,Day Trader,smbcapital
444,"['$idcc', 'collecting', 'goods']",T,2014-10-28,15:21:58,Z,28509523,IDCC,[u'suggested'],24106,74841,Technical,[u'Equities'],Professional,Swing Trader,lumberjax
445,"['$idcc', 'that', '39s', 'the', 'taste', 'I', 'was', 'looking', 'for', 'Frankie', 'yesss']",T,2014-10-28,15:21:45,Z,28509509,IDCC,[u'suggested'],24106,74841,Technical,[u'Equities'],Professional,Swing Trader,lumberjax
446,"['StupidStock', 'Move', 'of', 'the', 'Day', 'Sorry', '@johnlegere', 'Subscriber', 'growth', 'nice', 'But', 'not', 'sure', 'why', '$TMUS', 'should', 'be', 'up', 'nearly', '3', 'after', 'reporting', 'loss']",T,2014-10-28,15:21:27,Z,28509479,TMUS,"[u'suggested', u'official']",14655,23887,,[],Novice,Long Term Investor,lamonicabuzz
447,"['$GMCR', 'hearing', 'some', 'takeover', 'chatter', 'LOVE', 'IT', 'I', 'have', 'a', 'position']",T,2014-10-28,15:21:18,Z,28509472,GMCR,"[u'suggested', u'official']",20563,10061,Growth,[u'Equities'],Professional,Swing Trader,markminervini
448,"['$ESI', 'on', 'radar', 'Daily', 'curling', 'up']",T,2014-10-28,15:21:03,Z,28509452,ESI,[u'suggested'],28765,1769,Technical,[u'Equities'],Professional,Day Trader,szaman
449,"['quot', '@Estimize', '$APC', 'reports', 'after', 'the', 'close', 'Estimize', 'Consensus', '006', 'EPS', 'and', '3954M', 'Revs', 'compared', 'to', 'WS', 'quot']",T,2014-10-28,15:21:03,Z,28509451,APC,[u'suggested'],3190,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
450,"['Heavy', 'move', 'in', '$AAPL', 'today', 'as', 'well', 'hitting', 'the', 'R3', 'pivot', 'level', 'right', 'now']",T,2014-10-28,15:20:38,Z,28509422,AAPL,"[u'suggested', u'official']",2195,32071,Technical,"[u'Equities', u'Futures']",Professional,Swing Trader,SharePlanner
451,"['Look', 'at', 'the', 'daily', 'chart', 'of', '$BLMN', 'and', 'tell', 'me', 'that', 'doesn', '39t', 'look', 'like', 'a', 'stock', 'ready', 'for', 'some', 'price', 'expansion']",T,2014-10-28,15:19:52,Z,28509362,BLMN,"[u'suggested', u'official']",2195,32071,Technical,"[u'Equities', u'Futures']",Professional,Swing Trader,SharePlanner
452,"['Question', 'by', '$CLF', 'anlyst', 'on', 'conf', 'call', 'to', 'CEO', '39Whats', 'your', 'biggest', 'surprise', 'since', 'you', 'joined', 'CLF', '39', 'Answer', 'You', '39re', '$5', 'target']",T,2014-10-28,15:19:14,Z,28509304,CLF,"[u'suggested', u'official']",19688,10381,Value,"[u'Equities', u'Options']",Professional,Position Trader,CapitalObserver
453,"['Some', 'smart', 'dudes', 'here', 'on', 'my', 'stream', 'actually', 'like', '$TWTR', 'at', 'lower', 'prices', 'just', 'gauging', 'sentiment']",T,2014-10-28,15:18:50,Z,28509272,TWTR,[u'suggested'],3190,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
454,"['$FRGI', 'breaking', 'out', 'with', 'volume', 'Earnings', 'out', '114']",T,2014-10-28,15:18:13,Z,28509191,FRGI,[u'suggested'],677,30973,Momentum,"[u'Equities', u'Options', u'Futures']",Professional,Swing Trader,Global_Trader
455,"['I', 'guess', 'what', 'I', 'said', 'yesterday', 'about', 'Turnaround', 'Tuesday', 'holds', 'true', 'so', 'far', '$SPY']",T,2014-10-28,15:17:24,Z,28509123,SPY,[u'suggested'],3190,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
456,"['$VXX', 'LOD']",T,2014-10-28,15:16:46,Z,28509073,VXX,[u'suggested'],3189,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
457,"['Holding', 'the', 'bag', '$COH', 'down', '5', 'after', 'earnings', 'Stock', 'now', 'down', 'nearly', '40', 'YTD', 'Eek']",T,2014-10-28,15:15:43,Z,28508973,COH,"[u'suggested', u'official']",14650,23887,,[],Novice,Long Term Investor,lamonicabuzz
458,"['Two', 'recent', 'IPO', '39s', 'setting', 'entry', 'points', '$RWLK', 'with', 'break', 'out', 'above', '31', '$MBLY', 'with', 'a', 'break', 'over', '52']",T,2014-10-28,15:15:08,Z,28508921,MBLY,[u'suggested'],679,30973,Momentum,"[u'Equities', u'Options', u'Futures']",Professional,Swing Trader,Global_Trader
459,"['$clf', 'look', 'to', 'trim']",T,2014-10-28,15:14:44,Z,28508889,CLF,[u'suggested'],24104,74841,Technical,[u'Equities'],Professional,Swing Trader,lumberjax
460,"['We', '39re', 'long', '$CLF', '$XME', '$SPLK', '$CLDX', 'all', 'charts', 'posted', 'here', 'andor', 'in', 'newsletter', 'What', 'do', 'they', 'all', 'have', 'in', 'common', 'Coming', 'out', 'of', 'big', 'bases']",T,2014-10-28,15:14:28,Z,28508859,CLDX,[u'suggested'],28184,7496,Technical,[u'Equities'],Professional,Day Trader,HCPG
461,"['$BAC', 'HOD']",T,2014-10-28,15:14:00,Z,28508819,BAC,[u'suggested'],3189,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
462,"['$YHOO', 'this', 'one', 'on', 'fire', '$SPX', '$SPY', '$QQQ', '$NDX', '$XLK', '$FDN']",T,2014-10-28,15:13:37,Z,28508782,SPX,[u'suggested'],1913,108412,Technical,"[u'Equities', u'Forex', u'Futures', u'Bonds']",Professional,Position Trader,CaptainJohn
463,"['If', 'you', '39re', 'in', '$CLF', 'with', 'daytrade', 'size', 'don', '39t', 'be', 'piggish', 'here', 'and', 'take', 'some', 'off', 'into', 'this', 'spike', 'away', 'from', 'EMA']",T,2014-10-28,15:12:55,Z,28508725,CLF,[u'suggested'],28184,7496,Technical,[u'Equities'],Professional,Day Trader,HCPG
464,"['quot', '@ClueLess8', '$BAC', 'ltSTUDY', 'the', 'Charts', 'gt', 'Weekly', 'ITM', 'Calls', 'quot']",T,2014-10-28,15:12:22,Z,28508689,BAC,[u'suggested'],3190,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
465,"['When', 'Oil', 'Drops', 'Below', '$70', '$HAL', '$SLB', '$HERO', '$RIG']",T,2014-10-28,15:11:45,Z,28508627,HERO,"[u'suggested', u'official']",308,296805,,[],,,TalkMarkets
466,"['$BAC', 'ltSTUDY', 'the', 'Charts', 'gt', 'Weekly', 'ITM', 'Calls']",T,2014-10-28,15:11:38,Z,28508618,BAC,[u'suggested'],18662,74552,Technical,"[u'Equities', u'Options']",Professional,Swing Trader,ClueLess8
467,"['Another', 'solid', 'earnings', 'report', 'for', 'Wabtec', 'Usually', 'beats', 'by', 'just', 'a', 'penny', 'or', 'two', 'The', 'rails', 'are', 'HOT', '$WAB']",T,2014-10-28,15:11:35,Z,28508613,WAB,"[u'suggested', u'official']",19024,114233,Fundamental,[u'Equities'],Professional,Long Term Investor,TraceyRyniec
468,"['$CDNS', 'BO', 'contin', 'great', 'news', 'on', '25G', 'Ethernet', 'Specification', 'Have', 'position']",T,2014-10-28,15:11:08,Z,28508574,CDNS,[u'suggested'],1600,21210,Technical,"[u'Equities', u'Options', u'Futures', u'Bonds']",Professional,Swing Trader,Cousin_Vinny
469,"['Front', 'page', 'WSJ', 'today', 'talked', 'about', 'pros', 'and', 'cons', 'of', '3', 'buck', 'gas', '$CLF', '$USO']",T,2014-10-28,15:11:06,Z,28508569,CL_F,[u'suggested'],3190,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
470,"['Another', 'all-time', 'high', 'for', '$AAPL', '$10633', 'Inching', 'closer', 'to', 'Carl', 'Icahn', '39s', '$200', 'target', 'Can', 'Tim', 'Cook', 'use', 'Apple', 'Pay', 'to', 'buy', 'back', 'stock', 'sarcasm']",T,2014-10-28,15:10:45,Z,28508544,AAPL,"[u'suggested', u'official']",14650,23887,,[],Novice,Long Term Investor,lamonicabuzz
471,"['quot', '@WallStJesus', '$XLE', 'Enuf', 'already', '10000', 'Dec', '$79', 'puts', '138', 'ask', 'Opening', 'quot', 'really', 'wowza', 'this', 'is', 'in', 'my', 'backburner']",T,2014-10-28,15:10:40,Z,28508534,XLE,[u'suggested'],3192,16880,Technical,"[u'Equities', u'Options']",Intermediate,Swing Trader,BeckyHiu
