SNH,"[224394, 225115, 226677, 250812]"
SNI,"[28490, 31236, 111659, 111881, 130677, 200419, 309320]"
SNV,[244926]
ACLS,"[307325, 307327]"
SNP,"[223676, 223792, 226607]"
TEL,"[307449, 307450]"
JNJ,"[240, 657, 1072, 1484, 2185, 28375, 28452, 29275, 29276, 29297, 29903, 29910, 29934, 30265, 30363, 30572, 30577, 30745, 31725, 44742, 49436, 67310, 67354, 74746, 87400, 131049, 132061, 165873, 197999, 198137, 199327, 199818, 200154, 200413, 223885, 224205, 224351, 224477, 224491, 224497, 224524, 225030, 225401, 225667, 225801, 226036, 226203, 226262, 226416, 226500, 244869, 245848, 245907, 245998, 246206, 269054, 269270, 269568, 307208, 307279, 307926, 308083, 308219, 308880, 308917, 309534, 361745]"
AMCC,[190472]
SNX,"[223844, 308170, 308176]"
MAN,"[174759, 245886]"
BEN,"[131135, 131883, 132696, 225355, 226614, 322607]"
TDG,"[226690, 244770, 245666, 245794, 245903, 245983]"
EVC,"[29473, 224146]"
TOPS,[225553]
BEE,"[246418, 311310, 311328]"
TPLM,"[199809, 225814, 265323, 265813]"
RFP,"[199351, 245321]"
CNHI,"[198243, 224031, 226040]"
IDCC,"[29923, 307589, 309142, 309143, 309182]"
PSCU,[225558]
LNKD,"[713, 1368, 18518, 18727, 21755, 21772, 21781, 21793, 21794, 21797, 21800, 21801, 21809, 22278, 22281, 28088, 28301, 28612, 28874, 28896, 28917, 28931, 28935, 28938, 29039, 29263, 29350, 29798, 29914, 30321, 30376, 30379, 30380, 30383, 30384, 30422, 30435, 30633, 30640, 30649, 31472, 31503, 31505, 31506, 49587, 50091, 57174, 62309, 74102, 74271, 74375, 74379, 74734, 74793, 74870, 74901, 74978, 75117, 107886, 108371, 108399, 108610, 108644, 108673, 108674, 108687, 108688, 108689, 108693, 108714, 108726, 108728, 108975, 109333, 109399, 109411, 109414, 109439, 109444, 109447, 109453, 109455, 109482, 109484, 109584, 109650, 109651, 109767, 109814, 109831, 109832, 109835, 110048, 110203, 110250, 110264, 110282, 110285, 110384, 110468, 110883, 110903, 130700, 130760, 130867, 130939, 131067, 132080, 132221, 132253, 132460, 132485, 132897, 132967, 132987, 133045, 162159, 164123, 175364, 175422, 175710, 181317, 190400, 190767, 190772, 192057, 192170, 192232, 192303, 192325, 192356, 192415, 192547, 192548, 192834, 192862, 192899, 192975, 193033, 193037, 193046, 193055, 193082, 193084, 193213, 193317, 193471, 195715, 198060, 198614, 198615, 199150, 200736, 202679, 224016, 225181, 225197, 225413, 226604, 246062, 246598, 247890, 248576, 248705, 249095, 250062, 251202, 251225, 251417, 260631, 260637, 260746, 263779, 269057, 269946, 282042, 282043, 282138, 282249, 299383, 301707, 301713, 307117, 307122, 307126, 307879, 307880, 308547, 308695, 308698, 308702, 309355, 309653, 309994, 310029, 310112, 310119, 310249, 310435, 310470, 310798, 310812, 310856, 310870, 310873, 310929, 310985, 311034, 311232, 311281, 311341, 311361, 311390, 311391, 311392, 311407, 311408, 311420, 311423, 311435, 311436, 311437, 311439, 311441, 311443, 311458, 311467, 311505, 311507, 311525, 311566, 329378, 360707, 360767, 360779, 361075, 361076, 361295, 361296, 361298, 361299, 361474, 361856, 361857]"
LSG,"[224262, 224301, 224384, 224550]"
GHDX,"[246323, 308731]"
VLO,"[1072, 28986, 29299, 29563, 73703, 74319, 74324, 174887, 174890, 199014, 200498, 223847, 225531, 226004, 226617, 244967, 245899, 361286, 361799, 361800, 361832, 361886, 361919, 361920]"
MPLX,"[225462, 245300]"
TTS,"[29023, 199536, 200751, 203298, 245356, 246571, 307176, 309430, 309510, 309513, 344983, 345023, 361270, 361272]"
BIRT,[307872]
CMSB,[223571]
WWWW,"[29573, 203243, 246008, 307117, 307122]"
TTM,"[175411, 198435, 224409, 226234, 226333]"
VLP,[30221]
TTF,"[245128, 245436, 245929]"
TPUB,[223931]
GRT,"[66612, 132386, 306706, 306718]"
TPRE,"[198704, 198778, 199360, 199569, 199912, 200359, 285190]"
WSBC,[269111]
USLV,"[166080, 223720, 223882, 224875, 225280, 226445]"
ZX,"[245631, 246370]"
BBOX,[224479]
CPRX,"[112236, 112247, 112263, 112266, 112338]"
ZU,"[28811, 28812, 29584, 74063, 174879, 200654, 203178, 225856, 226102, 245968, 246478, 269131, 269222, 269243, 281977, 282062, 282446, 307381, 307398, 307781, 307807, 307837, 307841, 307906, 308551, 309498, 360668]"
SIG,"[30271, 68696, 190629, 202956, 244878, 244928, 245005, 245073, 245814, 246128, 268878, 307808, 308611, 308613]"
WPCS,"[224271, 309063, 309075, 309115, 309239, 309240]"
RLGY,"[157356, 188651, 203218, 225544, 292757, 307272, 307863, 360285]"
NOK,"[520, 29143, 29669, 29674, 30185, 56598, 74030, 74198, 74473, 74700, 74889, 112265, 132080, 132141, 132151, 132154, 132399, 133036, 133150, 162283, 162570, 162753, 162925, 162940, 163028, 163146, 175557, 189841, 189846, 189848, 192657, 192658, 198118, 198780, 199317, 200429, 224309, 224897, 225410, 225882, 226067, 226412, 226747, 248726, 251304, 263582, 263945, 263949, 307757, 307959, 308675, 309670, 309733, 309734, 360391, 361240, 361243, 361382]"
HLT,"[28136, 29388, 31821, 130556, 130585, 130860, 131765, 162741, 190727, 190734, 224187, 225165, 269252, 309299, 309311]"
HLS,[307176]
NOA,"[246365, 246909]"
NOC,"[28173, 29743, 165223, 224231, 225263, 225532, 225565, 225773, 275223, 275420, 307720, 343070, 343127, 343397, 343528]"
TXTR,"[223572, 246205, 246233, 308923, 309123, 361128]"
